# scripts/check.sh gate portability -- CAN THIS GATE RUN ON A GITHUB RUNNER?
#
# GENERATED FROM MEASUREMENT, not from reading the sources. Every row was produced by running its
# step in a runner-equivalent checkout -- `git clone --depth 1 --branch <br> file://<repo>`, which
# holds tracked files only and carries no game image, no origin/main, and only *.sample hooks --
# and comparing what it printed there against the developer tree. A static scan for
# `eldenring-deobf` was tried first and was wrong in BOTH directions: 18 gates that name the image
# ran fine without it, and gates that never name it failed. The scan was thrown away.
#
# THE DISTINCTION THAT MATTERS is not whether a gate exits 0 -- it is whether it CHECKED anything.
# Fourteen gates print one line saying their input is absent and exit 0, so check.sh wrote `passed`
# beside a gate that had asserted nothing at all. Those are `blocked`, and check.sh now skips them
# out loud. A gate that still carries real PASS lines beside its skip line is `partial` and is
# still run: half of something is coverage, and it says which half it lost.
#
# Re-measure with:
#   git clone --depth 1 --branch $(git rev-parse --abbrev-ref HEAD) file://$PWD /tmp/ci-sim
#   python3 scripts/ci-gate-portability.py --run --root /tmp/ci-sim --out /tmp/wt.json
#
# WHAT THAT MEASUREMENT CANNOT SEE: it relocates the REPO ROOT and nothing else. $HOME, $PATH and
# the installed toolchain are still the developer's, so a gate that reaches OUTSIDE the checkout
# is measured against a machine no runner resembles and comes back `portable` when it is not.
# One row was wrong for exactly this reason and only the first full CI run found it:
# test-windows-proof-render-smoke-verdict.py shelled out to run-windows-proof-render-smoke.sh,
# whose preflight require_file's $HOME/Elden/launch.sh -- the user's real ME3 launcher -- even
# under --dry-run, so it exited 2 on the runner and passed in every clone-based simulation. The
# fix was to make the test hermetic (it now points PRODUCT_LAUNCHER at a fixture), not to demote
# the row, because the gate itself never needed the launcher. When adding a row, read the step
# for $HOME, absolute paths outside the repo, and network or device access; the simulation will
# not fail them for you.
#
# `scripts/ci-gate-portability.py --check` requires every check.sh step that RUNS a repo script to
# have a row here, and every row to still name a step. That is what stops this classification
# drifting behind the suite the way .github/workflows/check.yml's hand-written step list did.
# Toolchain steps (cargo/shellcheck/rustfmt/opa/cupcake) are deliberately NOT ledgered: their
# dependency is "is the tool installed", which check.sh answers at run time in _check_tool_skip.
#
# A FIFTH COLUMN WAS ADDED 2026-09-11: which STAGE of scripts/check.sh runs this gate.
#
# It lives here rather than in a `docs/check-stages.tsv` of its own because this file already holds
# exactly one row per gate step, and `ci-gate-portability.py --check` already keeps that set in
# bijection with check.sh's step list. A second file keyed the same way would be a second key set
# that could disagree with this one, which is the disease rather than the cure. So the row that
# says what external input a gate needs is the row that says which stage runs it: one line to add
# when a gate is written, and one gate to keep both answers honest.
#
# The stage names are declared in `scripts/check-stages.py`, and `check-stages.py --check` (a step
# of check.sh) refuses a row naming a stage that does not exist, a step in no stage, a step in two,
# and a declared stage that holds no steps. Toolchain steps -- cargo/shellcheck/rustfmt/opa/cupcake
# -- are still not ledgered, and their stage comes from seven rules in that file for the same reason
# their portability does not live here: the answer is uniform and identical rows could go stale.
#
# columns: bucket <TAB> deps <TAB> key <TAB> what it does when the input is absent <TAB> stage
#   portable  ran and passed with no game-derived input present
#   partial   ran, asserted something real, and said which half it could not do. STILL RUN.
#   blocked   asserted nothing (or refused outright). check.sh SKIPS it, loudly, as a non-pass.
#   deps      '-' for portable; otherwise what must exist, probed by DEP_PROBES in that script.
#             A leading '!' marks a dependency whose absence kills the gate outright rather than
#             costing it a half -- see fatal_deps(). Every dep of a `blocked` row is fatal.
portable	-	check-own-load-save-rejection-guard.py	source/AST/text analysis only	product
portable	-	test-ifpe-finalization-proof.py	source/AST/text analysis only	product
portable	-	check-save-suppression.py --selftest	source/AST/text analysis only	product
portable	-	check-yk0j-runtime-proof.py --selftest	source/AST/text analysis only	product
portable	-	check-user-release-package.py	source/AST/text analysis only	product
blocked	image-1162	check-native-continue-static.py	one line: 'skipped: image is absent'. No byte window is checked	addresses
blocked	image-1162	check-menu-constructor-static.py	one line: 'skipped: image is absent'. No byte window is checked	addresses
portable	-	check-no-rva-zero.py --selftest	source/AST/text analysis only	addresses
portable	-	check-no-rva-zero.py	source/AST/text analysis only	addresses
portable	-	check-env-gate-comments.py	source/AST/text analysis only	policy
portable	-	test-env-gate-comments.py	source/AST/text analysis only	policy
portable	-	check-marker-file-gates.py	source/AST/text analysis only	policy
portable	-	test-marker-file-gates.py	source/AST/text analysis only	policy
portable	-	check-reload-trace-policy.py --audit	source/AST/text analysis only	policy
portable	-	check-windows-proof-render.py	source/AST/text analysis only	product
portable	-	test-windows-proof-render.py	source/AST/text analysis only	product
portable	-	test-windows-proof-render-smoke-verdict.py	verdict logic in-process; one case runs the smoke script --dry-run against a fixture launcher	product
portable	-	test-cupcake-policies.py	176 cupcake eval spawns, 20-35s; needs the cupcake binary the fail-fast guard above checks for	policy
portable	-	check-cupcake-wasm-builtins.py --selftest	source/AST/text analysis only	policy
portable	-	check-cupcake-wasm-builtins.py	source/AST/text analysis only	policy
portable	-	test-cupcake-hook-shim.py	source/AST/text analysis only	policy
portable	-	test-cupcake-stop-guards.py	source/AST/text analysis only	policy
portable	-	test-fix-claim-classifier.py	pure python over fixed strings; no game image, no cupcake binary	policy
portable	-	test-authority-agreement-signal.py	source/AST/text analysis only	policy
portable	-	test-idle-hold-signal.py	source/AST/text analysis only	policy
portable	-	test-unexecuted-promise-signal.py	source/AST/text analysis only	policy
portable	-	test-native-ownership-vocab-signal.py	source/AST/text analysis only	policy
portable	-	test-stall-on-friction-signal.py	source/AST/text analysis only	policy
portable	-	test-wall-of-text-signal.py	source/AST/text analysis only	policy
portable	-	test-cupcake-delivered-shape.py --selftest	source/AST/text analysis only	policy
portable	-	test-cupcake-delivered-shape.py	source/AST/text analysis only	policy
portable	-	cupcake_push_target_repo.py --selftest	builds a linked working tree and a stranger repository in a temp dir; no game image, no network	policy
portable	-	test-regulation-params-zstd-skip.py	blinds the interpreter in a subprocess; no game image, no regulation.bin	product
portable	-	check-no-lossy-utf8.py	source/AST/text analysis only	lint
portable	-	check-comment-caps.py --selftest	source/AST/text analysis only	lint
portable	-	check-comment-caps.py	source/AST/text analysis only, plus git ls-files/show in the checkout itself	lint
portable	-	check-no-unguarded-cstr-from-ptr.py --selftest	source/AST/text analysis only	source
portable	-	check-no-unguarded-cstr-from-ptr.py	source/AST/text analysis only	source
portable	-	check-prologue-bytes.py --selftest	source/AST/text analysis only	addresses
portable	-	check-prologue-bytes.py	source/AST/text analysis only	addresses
portable	-	check-lint-parity.py --selftest	source/AST/text analysis only	lint
portable	-	check-lint-parity.py	source/AST/text analysis only	lint
portable	-	check-fnv1a-owner.py --selftest	source/AST/text analysis only	source
portable	-	check-fnv1a-owner.py	source/AST/text analysis only	source
portable	-	check-rva-alias-drift.py --selftest	source/AST/text analysis only	addresses
portable	-	check-rva-alias-drift.py	source/AST/text analysis only	addresses
portable	-	check-profile-summary-layout.py --selftest	source/AST/text analysis only	product
portable	-	check-profile-summary-layout.py	source/AST/text analysis only	product
portable	-	check-fresh-run-logs.py --selftest	source/AST/text analysis only	runtime-tools
portable	-	check-fresh-run-logs.py	source/AST/text analysis only	runtime-tools
portable	-	test-pr-refactor-scope.sh	source/AST/text analysis only	suite
partial	build-artifact	test-dll-byte-identical.py	'ok (list tests only)' -- the comparator tests are the part that is skipped	cargo-build
portable	-	test-release-workflow.py --selftest	source/AST/text analysis only	product
portable	-	test-release-workflow.py	source/AST/text analysis only	product
portable	-	check-rust-file-sizes.py	source/AST/text analysis only	lint
portable	-	check-experiments-rustfmt.py	source/AST/text analysis only	lint
portable	-	check-crate-extraction-roadmap.py --selftest	source/AST/text analysis only	docs
portable	-	check-crate-extraction-roadmap.py	source/AST/text analysis only	docs
portable	-	rva_symbols.py --selftest	source/AST/text analysis only	addresses
portable	-	check-stale-rva-calls.py --selftest	source/AST/text analysis only	addresses
portable	-	check-stale-rva-calls.py	source/AST/text analysis only	addresses
portable	-	check-expression-constants.py --selftest	source/AST/text analysis only	addresses
portable	-	check-expression-constants.py	source/AST/text analysis only	addresses
blocked	rva-map-tsv	select-needed-1170-rows.py --selftest	selects rows OUT OF the gitignored 128k-row .pdata alignment	addresses
portable	-	map-data-rvas-1162-to-1170.py --selftest-source	source/AST/text analysis only	addresses
portable	-	check-no-stale-callsite-rva.py --selftest	source/AST/text analysis only	addresses
portable	-	check-no-stale-callsite-rva.py	source/AST/text analysis only	addresses
portable	-	derive-callsite-1170.py --selftest	source/AST/text analysis only	addresses
portable	-	check-hook-log-sink.py --selftest	source/AST/text analysis only	source
portable	-	check-hook-log-sink.py	source/AST/text analysis only	source
blocked	image-1162,image-1170,uv	audit-1170-hook-targets.py --selftest	FileNotFoundError on the 1.17 image before any assertion	addresses
portable	-	check-decode-extent-bounds.py --selftest	source/AST/text analysis only	addresses
portable	-	check-decode-extent-bounds.py	source/AST/text analysis only	addresses
blocked	uv	verify-prologue-masks-1170.py --selftest	re-derives every mask with capstone; os.execvp('uv') raises before the first assertion	addresses
portable	-	verify-aob-patterns-1170.py --selftest	source/AST/text analysis only	addresses
portable	-	verify-prologue-coverage-1170.py --selftest	source/AST/text analysis only	addresses
portable	-	verify-prologue-coverage-1170.py --section	source/AST/text analysis only	addresses
partial	image-1162,image-1170	classify-1170-entry-kind.py --selftest	synthetic half reports '0 failure(s)'; the image-backed half prints SKIPPED	addresses
blocked	image-1162,image-1170	classify-1170-entry-kind.py --fail-on-mid	one line: 'entry-kind classification skipped'. Nothing is classified	addresses
blocked	image-1162	check-leaf-extent-pdata-coverage.py	one line: 'skipped: missing image'. No extent is covered. (Measured to survive a missing uv, so uv is not listed.)	addresses
blocked	image-1162,image-1170	check-no-chained-continuation-rows.py --selftest	says it itself: 'NOT A PASS: no row was checked'	addresses
blocked	image-1162,image-1170	check-no-chained-continuation-rows.py	says it itself: 'NOT A PASS: no row was checked'	addresses
portable	-	check-no-duplicate-ledger-rows.py --selftest	source/AST/text analysis only	docs
portable	-	check-no-duplicate-ledger-rows.py	source/AST/text analysis only	docs
portable	-	check-ledger-section-kind.py --selftest	source/AST/text analysis only	docs
portable	-	check-1170-translation-collisions.py --selftest	source/AST/text analysis only	addresses
portable	-	check-1170-translation-collisions.py	source/AST/text analysis only	addresses
portable	-	check-double-resolved-hook-targets.py --selftest	source/AST/text analysis only	addresses
blocked	image-1162,image-1170,rva-map-tsv	verify-data-rvas-by-rtti.py --selftest	one line: 'SKIP: missing <image>'. No RTTI is verified. rva-map-tsv added 2026-09-01: without the whole-image map TRACE_MENU_TASK_UPDATE_TABLE_RVA's FNPTR anchor cannot be computed, the row falls to NO-ANCHOR and the UNANCHORED pin fails -- a false red, not a finding. The plain run below does not need it	addresses
blocked	image-1162,image-1170	verify-data-rvas-by-rtti.py	one line: 'SKIP: missing <image>'. No RTTI is verified	addresses
blocked	image-1162,image-1170	map-rvas-1162-to-1170.py --selftest	exits 1 with 'missing image: <path>' before the selftest runs; nothing is asserted	addresses
blocked	ghidra-8765,ghidra-8767	confirm-1170-pair-in-dumps.py --selftest	one line: 'skipped: no <build> Ghidra MCP daemon on :<port>'. No pair is confirmed or refused	addresses
blocked	image-1162,!uv	check-singleton-field-offsets.py --selftest	says it itself: 'SKIPPED (NOT A PASS) ... no field offset was checked at all'	addresses
blocked	image-1162,!uv	check-singleton-field-offsets.py	says it itself: 'SKIPPED (NOT A PASS) ... no field offset was checked at all'	addresses
blocked	image-1162,image-1170	check-object-field-offsets-1170.py --selftest	refuses to run: a green selftest without the images would be vacuous	addresses
partial	image-1162,image-1170	check-object-field-offsets-1170.py	73 constant pins and 9 write-reach bounds still recomputed; 'image: SKIPPED'	addresses
partial	image-1162,image-1170	audit-name-derived-offsets.py --selftest	60 kinds rows and 43 OS-ABI values still checked; only the lea known-answer test is skipped	addresses
blocked	generated-address-map	audit-1170-coverage-inventory.py --selftest	'no generated address_map_1170.rs to compare against; build er-game-base first'	addresses
portable	-	check-detour-rva-coverage.py --selftest	source/AST/text analysis only	addresses
portable	-	check-detour-rva-coverage.py	source/AST/text analysis only	addresses
portable	-	check-hook-batch-abort.py --selftest	source/AST/text analysis only	source
portable	-	check-hook-batch-abort.py	source/AST/text analysis only	source
blocked	rva-map-tsv	check-native-call-rva-coverage.py --selftest	its ledger pin names the gitignored .pdata alignment	addresses
blocked	rva-map-tsv	check-native-call-rva-coverage.py	its ledger pin names the gitignored .pdata alignment	addresses
blocked	game-install	check-game-version-supported.py --selftest	'PE reader not exercised' -- the selftest reads the INSTALLED exe, it has no synthetic PE	addresses
blocked	game-install	check-game-version-supported.py	'SKIP: no game at ...' -- the installed build is the entire subject	addresses
partial	game-install	check-ersc-version-supported.py --selftest	both parsers still assert on synthetic banners and the real constant; 'installed reader not exercised'	product
blocked	game-install	check-ersc-version-supported.py	'SKIP: no Seamless Co-op at ...' -- the installed build is the entire subject	product
portable	-	check-markdown-code-blocks.py	source/AST/text analysis only	lint
portable	-	er-stale-run-sentinel.sh --selftest	source/AST/text analysis only	runtime-tools
portable	-	er-frida-evidence.py --selftest	tempdir log + a non-repo path for the HEAD lookup; no game, no frida module, no network	runtime-tools
portable	-	er-frida-watch.py --selftest	source/AST/text analysis only; its agent file is tracked	runtime-tools
portable	-	test-frida-evidence-wiring.py	drives run() against a stubbed device in-process; stdlib only, no game, no frida module, no network	runtime-tools
portable	-	er-launch-gate.py --selftest	source/AST/text analysis only	runtime-tools
blocked	game-install	diff-regulation-params.py --effects-json	exits 2 on purpose: 'could not look' is not evidence the effects.json ids agree	product
blocked	game-install	check-starting-classes.py	exits 2 on purpose: the starting-class table drifts silently	product
portable	-	audit-1170-readiness.py --selftest	source/AST/text analysis only	addresses
portable	-	audit-1170-readiness.py --check	source/AST/text analysis only	addresses
portable	-	audit-1170-gate-bypass.py --selftest	source/AST/text analysis only	addresses
portable	-	audit-1170-gate-bypass.py --baseline	source/AST/text analysis only, compared against the committed baseline JSON beside it	addresses
portable	-	audit-ungated-image-writes.py --selftest	source/AST/text analysis only	addresses
portable	-	audit-ungated-image-writes.py	source/AST/text analysis only	addresses
portable	-	check-test-target-coverage.py --selftest	synthetic fixture workspaces in tmp plus a source-only read of the live crates	suite
portable	-	check-test-target-coverage.py --prove-selftest-catches-regression	source/AST/text analysis only	suite
portable	-	check-test-target-coverage.py	source/AST/text analysis only	suite
portable	-	check-moveset-table.py --selftest	synthetic tables built in memory; needs nothing	moveset
portable	-	er-moveset-coverage.py --selftest	measured 2026-09-03 in a tracked-files-only checkout of the merged tree: exit 0 and the real assertion 'c4351 reduced to locomotion is caught'; output matches the developer tree except for the temp path of its own synthetic table	moveset
portable	-	er-moveset-coverage.py --check	measured 2026-09-03 in a tracked-files-only checkout of the merged tree: exit 0, output BYTE-IDENTICAL to the developer tree (408 creatures, 37 classifying zero attacks); the table and corpus it reads are both tracked, so it needs no game image	moveset
partial	chr-corpus	check-moveset-table.py	grammar and invariant half asserts on the committed table; the regenerate-and-diff half prints SKIP	moveset
portable	-	check-me3-shell-coverage.py --selftest	source/AST/text analysis only	product
portable	-	check-me3-shell-coverage.py	source/AST/text analysis only	product
portable	-	check-union-hook-abi.py --selftest	source/AST/text analysis only	source
portable	-	check-union-hook-abi.py	source/AST/text analysis only	source
portable	-	check-me3-dll-conflicts.py --selftest	source/AST/text analysis only	product
portable	-	check-me3-dll-conflicts.py	source/AST/text analysis only	product
portable	-	check-profile-select-chrome-answered.py --selftest	source/AST/text analysis only	product
portable	-	check-profile-select-chrome-answered.py	source/AST/text analysis only	product
portable	-	check-me3-dll-catalog.py --selftest	source/AST/text analysis only	product
portable	-	check-me3-dll-catalog.py	source/AST/text analysis only	product
portable	-	check-quit-row-flow-overlap.py --selftest	source/AST/text analysis only	product
portable	-	check-quit-row-flow-overlap.py	source/AST/text analysis only	product
portable	-	gen-installer-catalog.py --selftest	source/AST/text analysis only	product
portable	-	gen-installer-catalog.py --check	source/AST/text analysis only	product
portable	-	gen-installer-settings.py --selftest	source/AST/text analysis only	product
portable	-	gen-installer-settings.py --check	source/AST/text analysis only	product
portable	-	build-installer-release.py --selftest	source/AST/text analysis only	product
portable	-	check-shared-hook-rvas.py --selftest	source/AST/text analysis only	addresses
portable	-	check-shared-hook-rvas.py	source/AST/text analysis only	addresses
portable	-	er_run_lib.py	source/AST/text analysis only	runtime-tools
blocked	git-baseline	er-dll-closure.py --selftest	calls git merge-base origin/main HEAD; on a shallow clone three --with/--without cases FAIL rather than skip	suite
portable	-	er-change-scope.py --selftest	pure: reads the build scripts, check.sh and scripts/ only -- no git baseline, unlike the closure tool above	suite
partial	build-artifact	er-dll-provenance.py --selftest	10 closure cases still run; 'fingerprint checks not exercised'	product
blocked	crash-logging-dll	er-dll-freshness.sh --selftest	needs a linked er_crash_logging.dll to attest -- named by FILE, not by 'some dll exists': a partly-built tree passed build-artifact and the gate then exited 1 about the missing build	cargo-build
partial	save-corpus	er-pick-save.py --selftest	argument and size-invariant cases still PASS; 'skip no save corpus found'	runtime-tools
portable	-	er-gen-me3-profile.py --selftest	source/AST/text analysis only	product
portable	-	er-run-reaper.py --selftest	source/AST/text analysis only	runtime-tools
blocked	user-launcher	er-run-branch.py --selftest	asserts the user launcher it delegates to really exists at ~/Elden/launch.sh	runtime-tools
portable	-	er-release-bisect.py --selftest	source/AST/text analysis only	product
portable	-	check-single-dll-product-contract.py --selftest	source/AST/text analysis only	product
portable	-	check-single-dll-product-contract.py	source/AST/text analysis only	product
portable	-	check-feature-gates-bite.py --selftest	source/AST/text analysis only	product
portable	-	check-feature-gates-bite.py	source/AST/text analysis only	product
portable	-	check-constant-feature-gates.py --selftest	source/AST/text analysis only	product
portable	-	check-constant-feature-gates.py	source/AST/text analysis only	product
portable	-	check-rust-build.sh	full cross-linked DLL build plus wine lib tests; the one step over the 30s audit cap, so not measured by the sweep -- CI has always run it	cargo-build
blocked	minhook	check-committed-compiles.sh --selftest	compiles the workspace; er-hook needs vendor/minhook	cargo-build
blocked	minhook	check-committed-compiles.sh	compiles the workspace; er-hook needs vendor/minhook	cargo-build
portable	-	check-git-hooks-installed.sh --selftest	source/AST/text analysis only	suite
blocked	git-hooks	check-git-hooks-installed.sh	asserts THIS clone's hooks; a fresh checkout has only *.sample	suite
portable	-	test-check-config-guard.sh	source/AST/text analysis only	suite
portable	-	test-pre-push-scrubs-git-env.sh	builds its own main+linked-worktree pair under mktemp; touches no repo but its own	suite
portable	-	test-pre-push-deletion-only.sh	builds its own bare remote plus working clone under mktemp and pushes only between them	suite
portable	-	test-pre-push-dirty-tree.sh	builds its own single-branch repo under mktemp, stubs the one script the hook calls before the check, and drives the hook with a ref list on stdin	suite
portable	-	test-er-push-watched-ref-carries-work.sh	builds its own bare remote plus working clone under mktemp; every fetch and push names that fixture, so it needs no network and no origin/main	suite
portable	-	test-cpu-courtesy.sh	runs renice/taskset on itself; every number is derived from nproc, so a 2-core runner asserts 1	suite
portable	-	check-save-disable-warnings.py	source/AST/text analysis only	product
portable	-	conventional-commit-subject.py --selftest	source/AST/text analysis only	suite
portable	-	test-described-next-step-signal.py	drives the signal script under mktemp; source/text only	policy
portable	-	check-no-thread-suspension.py --selftest	source/AST/text analysis only	source
portable	-	check-no-thread-suspension.py	source/AST/text analysis only; silent and rc 0 in both the clone and the developer tree	source
partial	git-baseline	check-runtime-evidence.sh --selftest	nine fixture cases run under mktemp and say PASS -- both log directories are pointed at fixtures, so the machine's own runs cannot leak in; the four carry-forward cases print 'skip' on a depth-1 checkout, which does not carry the commits they diff. fetch-depth: 0 runs them.	suite
partial	build-artifact	er-runtime-evidence.py --selftest	seventeen of eighteen cases run with no game, no git history and no built DLL: the log scan runs against mktemp fixtures and the dirty-log proof against substituted collaborators. The last case reads a real DLL's pe stamp and prints 'skip  no built DLL' without one.	suite
portable	-	er-character-type-tables.py --selftest	source/AST/text analysis only	product
portable	-	test-challenged-convention-classifier.py	source/AST/text analysis only	policy
portable	-	test-narrated-action-classifier.py	source/AST/text analysis only	policy
portable	-	test-admission-with-defence-classifier.py	source/AST/text analysis only	policy
portable	-	test-diagnosis-signal.py	source/AST/text analysis only	policy
portable	-	test-future-commitment-signal.py	source/AST/text analysis only	policy
portable	-	test-deferred-evidence-read-signal.py	source/AST/text analysis only	policy
portable	-	check-shared-detour-signatures.py --selftest	source/AST/text analysis only	addresses
portable	-	check-shared-detour-signatures.py	source/AST/text analysis only	addresses
portable	-	er-run-natives-history.py --selftest	source/AST/text analysis only	runtime-tools
